scanner_id,dpi,path,width,height,mean,std,min,max,entropy,skewness
EpsonV39-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-2/150/s9_1.tif,1240,1754,244.9609919262883,33.12687462045032,46,255,2.4411985059089596,-3.8982579708099365
EpsonV39-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-2/150/s9_10.tif,1240,1754,243.19934481553685,35.159661249643314,45,255,2.438070157693286,-3.5606956481933594
EpsonV39-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-2/150/s9_100.tif,1240,1754,242.36551384853055,36.23344951739101,46,255,2.607610506863055,-3.431689500808716
EpsonV39-2,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-2/300/s9_1.tif,2480,3508,243.9940577068084,36.37113463810709,40,255,2.7796230114111906,-3.8724732398986816
EpsonV39-2,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-2/300/s9_10.tif,2480,3508,242.5611180205613,37.622801066128844,34,255,2.658585100249197,-3.567706823348999
EpsonV39-2,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-2/300/s9_100.tif,2480,3508,241.46534465001656,39.14343304076503,40,255,2.937113292778558,-3.4122166633605957
EpsonV550,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV550/150/s10_1.tif,1239,1754,244.18942336805623,31.814644647919636,54,255,3.450381136833472,-3.839388370513916
EpsonV550,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV550/150/s10_10.tif,1239,1754,243.39537071036983,33.72951001297332,51,255,2.8112349406374286,-3.524385929107666
EpsonV550,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV550/150/s10_100.tif,1239,1754,240.8485150510352,37.24620694807505,29,255,3.8545602929347766,-3.5411643981933594
EpsonV550,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV550/300/s10_1.tif,2478,3508,243.38730796804353,34.671877048893286,45,255,3.6270584235811922,-3.834437131881714
EpsonV550,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV550/300/s10_10.tif,2478,3508,242.75263849814513,35.958179123055515,45,255,3.0504192884941577,-3.5310027599334717
EpsonV550,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV550/300/s10_100.tif,2478,3508,240.02918223122887,39.64942805281015,24,255,4.0196549767561995,-3.467923641204834
EpsonV370-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV370-1/150/s6_1.tif,1236,1754,242.54696615779744,32.75085391226424,48,255,3.946791538328278,-3.5262320041656494
EpsonV370-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV370-1/150/s6_10.tif,1236,1754,240.84036119014144,35.23752944206119,43,255,3.881975967167418,-3.2360429763793945
EpsonV370-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV370-1/150/s6_100.tif,1236,1754,239.4413651828645,36.354093485054136,49,255,4.181364382266569,-3.0970263481140137
EpsonV370-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV370-1/300/s6_1.tif,2480,3508,240.71457693474824,35.34554867070169,43,255,4.400055946814204,-3.538755178451538
EpsonV370-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV370-1/300/s6_10.tif,2480,3508,239.80934902251076,37.07676754510854,36,255,4.179995589261004,-3.261226177215576
EpsonV370-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV370-1/300/s6_100.tif,2480,3508,238.43733631882884,38.33799133459166,44,255,4.405126143166411,-3.110211133956909
EpsonV39-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-1/150/s8_1.tif,1240,1754,244.91550925074483,33.22752147179036,46,255,2.4887561156881515,-3.8996646404266357
EpsonV39-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-1/150/s8_10.tif,1240,1754,243.2977811086181,35.16921519189151,44,255,2.3509130948427357,-3.5776939392089844
EpsonV39-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-1/150/s8_100.tif,1240,1754,242.35011724353552,36.344503739720025,44,255,2.6524451521712797,-3.4410128593444824
EpsonV39-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-1/300/s8_1.tif,2480,3508,244.13938371280392,36.41653551305315,39,255,2.6532037206283934,-3.884694814682007
EpsonV39-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-1/300/s8_10.tif,2480,3508,242.72331215286718,37.628084777897364,35,255,2.5316190517470907,-3.5862059593200684
EpsonV39-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/EpsonV39-1/300/s8_100.tif,2480,3508,241.44592084452128,39.277792927380354,40,255,2.958819979793423,-3.4176125526428223
Canon120-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-1/150/s1_1.tif,1240,1752,245.41934517233761,33.64026698979407,43,255,1.8251784504134585,-3.9490320682525635
Canon120-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-1/150/s1_10.tif,1240,1752,243.61110942333187,35.30636126931188,42,255,2.3571688119094922,-3.662044048309326
Canon120-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-1/150/s1_100.tif,1240,1752,242.81414006112828,36.94344779904943,41,255,2.434190925320081,-3.5158464908599854
Canon120-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-1/300/s1_1.tif,2480,3508,244.8930720564976,35.92760146388669,37,255,2.428726526868328,-4.062487602233887
Canon120-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-1/300/s1_10.tif,2480,3508,243.35223808713724,36.96214111157507,37,255,2.6548427714245744,-3.7697062492370605
Canon120-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-1/300/s1_100.tif,2480,3508,242.46151297035348,38.728198869966256,37,255,2.802414283204193,-3.5959041118621826
Canon120-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-2/150/s2_1.tif,1240,1752,245.68927861246132,32.98900248010013,45,255,1.7030296786448953,-3.976508855819702
Canon120-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-2/150/s2_10.tif,1240,1752,243.90581639416703,34.881265608194205,44,255,2.2104283265814506,-3.6896255016326904
Canon120-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-2/150/s2_100.tif,1240,1752,243.24671021137132,36.11983315921967,36,255,2.238626254485843,-3.542571544647217
Canon120-2,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-2/300/s2_1.tif,2480,3508,245.11418439879355,35.61346936507464,38,255,2.254783562230206,-4.079615592956543
Canon120-2,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-2/300/s2_10.tif,2480,3508,243.71697226615663,36.625616777469936,36,255,2.4306055260698645,-3.80336594581604
Canon120-2,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon120-2/300/s2_100.tif,2480,3508,242.87286179975723,38.26888567188946,34,255,2.5441702595922573,-3.624783515930176
Canon220,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon220/150/s3_1.tif,1240,1752,245.51426434305495,33.05413427432555,28,255,2.176857071505392,-4.021992206573486
Canon220,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon220/150/s3_10.tif,1240,1752,243.78969979010162,34.861166966553796,28,255,2.4628435735504937,-3.676790237426758
Canon220,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon220/150/s3_100.tif,1240,1752,242.93653060097216,35.83993011042327,30,255,2.7590999350648637,-3.5325796604156494
Canon220,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon220/300/s3_1.tif,2480,3508,244.88730539871997,35.18994190402836,28,255,2.49200866838684,-3.9821479320526123
Canon220,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon220/300/s3_10.tif,2480,3508,243.3576414048994,36.303566604079954,28,255,2.653414913480886,-3.6670339107513428
Canon220,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon220/300/s3_100.tif,2480,3508,242.15639747397654,37.95742505772965,28,255,3.083675608734444,-3.498744487762451
Canon9000-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-1/150/s4_1.tif,1240,1754,246.14565877073602,31.147364792085426,39,255,1.6734522503163025,-4.031425476074219
Canon9000-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-1/150/s4_10.tif,1240,1754,244.46705042851363,33.0422839682808,40,255,1.9157539895525075,-3.7169837951660156
Canon9000-1,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-1/150/s4_100.tif,1240,1754,243.75478399602753,34.276227163406624,41,255,2.1046099487960728,-3.603219747543335
Canon9000-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-1/300/s4_1.tif,2480,3508,245.51640857762902,34.216395084633945,39,255,1.792153812498102,-4.012430191040039
Canon9000-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-1/300/s4_10.tif,2480,3508,243.92820913947844,35.454078038735894,39,255,2.0462110108388556,-3.7095401287078857
Canon9000-1,300,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-1/300/s4_100.tif,2480,3508,243.14439277044175,37.0058561504323,40,255,2.164019330711632,-3.5720155239105225
Canon9000-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-2/150/s5_1.tif,1240,1754,246.0622540184647,31.264195428177562,50,255,1.811996321558813,-4.02657413482666
Canon9000-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-2/150/s5_10.tif,1240,1754,244.36760308235554,33.26065990116964,40,255,1.978423681178307,-3.7148709297180176
Canon9000-2,150,/content/drive/MyDrive/Tracefinder/Wikipedia/Canon9000-2/150/s5_100.tif,1240,1754,243.72179074557693,34.24206294142884,51,255,2.1552082083601323,-3.597264051437378
